Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
SãoPaulo,Disponível,391.0,13,7891150065338,Sabonete Líquido Dove Baby Hidratação Glicerinada Refil 400ml,"14,99","10,49",-30.0%,"10,49",-30.0%
SaoPaulo,Indisponível,391.0,14,0,Óleo Capilar Elixir Ceramidas Beautycolor 40ml,0,0,0,0,0
SaoPaulo,Indisponível,391.0,15,0,Cronobe Complex 100mg + 100mg + 5mg Biolab 30 Comprimidos,0,0,0,0,0
SãoPaulo,Disponível,391.0,12,7896007511389,Fralda Turma da Mônica Baby XG 42 Unidades,"23,55","23,55",-,"23,55",-
SaoPaulo,Indisponível,390.0,14,0,Óleo Essencial de Capim Limão 10ml - Laszlo,0,0,0,0,0
SaoPaulo,Indisponível,390.0,13,0,Bb Cream Clareador Fps44 - Latika - Bege Médio - BB Cream Clareador FPS44 - Latika - Bege Médio,0,0,0,0,0
SãoPaulo,Disponível,390.0,15,7896226103037,Predsim 20mg Mantecorp Farmasa 10 Comprimidos Revestidos,"256,10","211,85",-17.3%,"211,85",-17.3%
SaoPaulo,Indisponível,390.0,15,0,Gel Secativo Ever You Pele Mista a Oleosa 20g,0,0,0,0,0
SaoPaulo,Indisponível,390.0,14,0,Óleo Corporal Infantil Hidratante Pampers 110ml,0,0,0,0,0
SãoPaulo,Disponível,390.0,15,7896112425137,Tantin 50mg Biolab 28 Comprimidos,"26,40","25,31",-4.1%,"25,31",-4.1%
SaoPaulo,Indisponível,390.0,13,0,Dermomax 40mg/g Biosintética 5g Creme,0,0,0,0,0
SãoPaulo,Disponível,390.0,16,7891000056523,Fórmula Infantil Nestogeno 1 800g,"35,99","35,99",-,"35,99",-
SãoPaulo,Disponível,390.0,13,7896422515122,Adapaleno 1mg/g Genérico Medley 30g Gel,"58,19","24,77",-57.4%,"24,77",-57.4%
SãoPaulo,Disponível,390.0,14,7500435148436,Lenço Umedecido Pampers Higiene Completa 48 Unidades,"19,99","17,90",-10.5%,"17,90",-10.5%
SãoPaulo,Disponível,390.0,14,7896422514248,Maleato De Enalapril 10mg Genérico Vitamedic 30 Comprimidos,"21,90","5,24",-76.1%,"5,24",-76.1%
SãoPaulo,Disponível,390.0,12,7891010031633,Absorvente Externo Sempre Livre Adapt Plus Suave 32 Unidades,"7,99","7,49",-6.3%,"7,49",-6.3%
SãoPaulo,Disponível,390.0,14,070330734395,Kit Aparelho de Barbear Bic Comfort 3 Pele Sensível 4 Unidades,"19,99","15,99",-20.0%,"15,99",-20.0%
SãoPaulo,Disponível,390.0,16,7896523210742,Cetoconazol 200mg Genérico Cimed 30 Comprimidos,"89,44","38,84",-56.6%,"38,84",-56.6%
SaoPaulo,Indisponível,390.0,14,0,"Cherry 2mg + 0,03mg Melora 21 Comprimidos + 7 Placebos",0,0,0,0,0
SaoPaulo,Indisponível,390.0,14,0,Piranha de Cabeli Zalike Acrílico Mini 3 Cores 12 Unidades,0,0,0,0,0
SaoPaulo,Indisponível,390.0,13,0,Máscara Cílios 5 em 1 Volume - 6g - Payot - Máscara Payot Cílios 5 em 1 Volume 6g,0,0,0,0,0
SaoPaulo,Indisponível,390.0,15,0,Máscara Capilar Tresemmé Brilho Lamelar 400g,0,0,0,0,0
SaoPaulo,Indisponível,390.0,12,0,Valda Xilitol 36g,0,0,0,0,0
SãoPaulo,Disponível,389.0,12,7896422500500,Fumarato de Quetiapina 25mg Genérico Actavis 30 Comprimidos,"77,89","19,52",-74.9%,"19,52",-74.9%
