Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
VeraCruz,Disponível,414.0,13,7896023700637,Camomila Composta Catarinense Solução Oral 150ml,"39,90","30,32",-24.0%,"28,80",-27.8%
VeraCruz,Disponível,414.0,13,7894916515764,Vynaxa 10mg 30 Comprimidos Revestidos,"53,39","44,31",-17.0%,"42,09",-21.2%
VeraCruz,Disponível,413.0,13,7897947612808,Lactolínea 667mg/ml Sabor Ameixa 120ml,"23,99","17,51",-27.0%,"16,63",-30.7%
VeraCruz,Disponível,412.0,15,7896026306416,Jardiance 10mg 30 comprimidos revestidos,"321,27","107,09",-66.7%,"305,21",-5.0%
VeraCruz,Disponível,412.0,13,7891058003210,"Clexane 40mg/0,4ml 2 seringas preenchidas com 0,4ml com sistema de segurança",0,0,0,0,0
VeraCruz,Disponível,412.0,16,7896658005084,Nisulid Dispersível 100mg 12 comprimidos dispersíveis,"74,89","63,66",-15.0%,"60,48",-19.2%
VeraCruz,Disponível,411.0,14,7896672201493,Clenil Compositum A 400mcg/ml + 800mcg/ml 10 flaconetes com 2ml cada,"92,46","81,36",-12.0%,"77,29",-16.4%
VeraCruz,Disponível,411.0,13,7896641808982,Dexilant 30mg Takeda 30 cápsulas de liberação retardada,"129,76","55,15",-57.5%,"104,79",-19.2%
VeraCruz,Disponível,411.0,13,7896672201882,Bamifix 600mg 20 drágeas,"73,02","63,53",-13.0%,"60,35",-17.4%
VeraCruz,Disponível,411.0,13,7896016806261,Naldecon Noite 24 comprimidos,"60,99","51,84",-15.0%,"49,25",-19.2%
VeraCruz,Disponível,411.0,15,7896181901372,Busonid Caps 400mcg Refil 60 cápsulas para inalação,"94,72","79,56",-16.0%,"75,58",-20.2%
VeraCruz,Disponível,411.0,12,7896026305259,Trayenta 5mg 30 comprimidos revestidos,"327,33","109,11",-66.7%,"310,96",-5.0%
VeraCruz,Disponível,411.0,12,7891142177056,Predsim 20mg 10 comprimidos,"40,42","35,57",-12.0%,"33,79",-16.4%
VeraCruz,Disponível,411.0,14,7896637022866,"Colchis 0,5mg 20 comprimidos","56,40","24,82",-56.0%,"23,58",-58.2%
VeraCruz,Disponível,410.0,15,7891268107609,"Xalatan 50mcg/ml Colírio 2,5ml","253,00","74,21",-70.7%,"211,51",-16.4%
VeraCruz,Disponível,410.0,14,7896714219318,Antialérgico Xarope Histamin 2mg/5ml 100ml,"26,90","23,13",-14.0%,"21,97",-18.3%
