Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
FarmaPonte;7891317922535;Holmes Olmesartana Medoxomila 40mg 30 Comprimidos;Disponível;53,82;47,47;-11.8%;48,44;-10.0%;Anti-hipertensivos;27067;https://www.farmaponte.com.br/holmes-olmesartana-medoxomila-40mg-30-comprimidos/p
FarmaPonte;7500435188067;Vick Pyrena Grip 7 Com 20 Capsulas;Disponível;30,10;29,50;-2.0%;30,10;-0.0%;Antigripal;21494;https://www.farmaponte.com.br/vick-pirena-grip-7-com-20-capsulas/p
FarmaPonte;7891721015366;Diclin 2Mg + 0,035Mg, Caixa Com 63 Comprimidos Revestidos;Disponível;61,31;52,87;-13.8%;53,95;-12.0%;Antiacneico;12068;https://www.farmaponte.com.br/diclin-2mg-0035mg-caixa-com-63-comprimidos-revestidos/p
FarmaPonte;7896004705873;Atenolol 50mg 30 comprimidos EMS Genérico EMS 30 Comprimidos;Disponível;25,84;8,99;-65.2%;22,48;-13.0%;Anti-hipertensivos;24243;https://www.farmaponte.com.br/atenolol-50mg-30cpr-ems-gen/p
FarmaPonte;7908020502647;Ferane 35 63 Comprimidos;Disponível;0;58,82;0;0;0;Anticoncepcional;22418;https://www.farmaponte.com.br/ferane-35-63cpr/p
FarmaPonte;7896658050145;Bilastina 20mg 15 comprimidos Ache  Genérico;Disponível;43,60;37,17;-14.7%;37,93;-13.0%;Anti Histaminico E Antialergico Topico;29554;https://www.farmaponte.com.br/bilastina-20mg-15-comprimidos-ache-generico/p
FarmaPonte;7894916505178;Risedross 35Mg, Caixa Com 4 Comprimidos Revestidos;Disponível;80,33;68,49;-14.7%;69,89;-13.0%;Manutenção Óssea;16002;https://www.farmaponte.com.br/risedross-35mg-caixa-com-4-comprimidos-revestidos/p
FarmaPonte;7896004782553;Dipirona Monoidratada 1g 20 comprimidos EMS Genérico;Disponível;42,34;27,34;-35.4%;27,90;-34.1%;Analgésico Antitérmico;25675;https://www.farmaponte.com.br/dipirona-monoidratada-1g-20-comprimidos-ems-generico/p
FarmaPonte;7898040329600;Floratil At 250Mg Com 6 Envelopes;Disponível;51,86;50,82;-2.0%;51,86;-0.0%;Analgésico Antitérmico;22829;https://www.farmaponte.com.br/floratil-at-250mg-com-6-envelopes/p
FarmaPonte;7897705202715;Rybelsus 7mg Com 30 Comprimidos;Disponível;1293,49;1064,80;-17.7%;362,18;-72.0%;Antidiabéticos;26453;https://www.farmaponte.com.br/rybelsus-7mg-com-30-comprimidos/p
FarmaPonte;7891317018542;Isotretinoina 20Mg Eurofarma, Caixa Com 30 Capsulas;Disponível;183,17;84,37;-53.9%;86,09;-53.0%;Psicotropico;24169;https://www.farmaponte.com.br/isotretinoina-20mg-eurofarma-caixa-com-30-capsulas/p
FarmaPonte;8903855053455;Pregalpha 75mg com 30 cápsulas;Disponível;0;48,83;0;0;0;Psicotropico;25910;https://www.farmaponte.com.br/pregalpha-75mg-com-30-capsulas/p
FarmaPonte;7896026170475;Solução Antisséptica Bucal Malvatricin PPU com 250mL;Disponível;0;40,43;0;0;0;Descongestionante Nasal;22032;https://www.farmaponte.com.br/malvatricin-ppu-250ml/p
FarmaPonte;7896094919174;Fenofibrato 200Mg Neo Quimica, Caixa Com 30 Capsulas Gelatinosas Duras;Disponível;111,05;78,36;-29.4%;79,96;-28.0%;Redutor De Colesterol Antihipertensivo;24095;https://www.farmaponte.com.br/fenofibrato-200mg-neo-quimica-caixa-com-30-capsulas-gelatinosas-duras/p
FarmaPonte;7894916149181;Gliclazida Legrand 60mg, caixa com 30 comprimidos;Disponível;0;44,50;0;0;0;Antidiabéticos;20455;https://www.farmaponte.com.br/gliclazida-60mg-30cpr-leg/p
FarmaPonte;7896004751009;Succinato de Desvenlafaxina 50mg EMS 30 Comprimidos Revestidos;Disponível;157,24;57,02;-63.7%;58,18;-63.0%;Psicotropico;19379;https://www.farmaponte.com.br/suc-desvenlafaxina-50mg-30cpr-ems/p
FarmaPonte;7899095241503;Montelucaste de Sódio 10mg Geolab com 30 Comprimidos;Disponível;0;43,94;0;0;0;Antiasmático;25417;https://www.farmaponte.com.br/montelucaste-10mg-com-30-comprimidos-revestidos-geolab-generico/p
FarmaPonte;7896676442144;Cutisanol Gel 1,5Mg G + 45Mg G, Tubo Com 100G De Gel De Uso Dermatologico;Disponível;73,73;65,01;-11.8%;66,34;-10.0%;Antisséptico;11984;https://www.farmaponte.com.br/cutisanol-gel-15mgg-45mgg-tubo-com-100g-de-gel-de-uso-dermatologico/p
FarmaPonte;7896004766997;Rivaroxabana 10Mg Ems, Caixa Com 30 Comprimidos Revestidos;Disponível;256,53;42,74;-83.3%;43,61;-83.0%;Antitrombotico;22687;https://www.farmaponte.com.br/rivaroxabana-10mg-ems-caixa-com-30-comprimidos-revestidos/p
FarmaPonte;7897595602404;Cloridrato de Ciprofloxacino 500mg Sandoz 14 Comprimidos Revestidos;Disponível;54,03;35,48;-34.3%;36,20;-33.0%;Antibiotico;25735;https://www.farmaponte.com.br/cloridrato-de-ciprofloxacino-500mg-sandoz-14-comprimidos-revestidos/p
